         
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0.025641 0 0 0 0 0 0 0
0 0 0.025641 0 0 0 0 0 0 0
0 0 0.051282 0 0 0 0 0 0 0
0 0 0.076923 0 0 0 0 0 0 0
0.025641 0 0.10256 0 0 0 0.051282 0 0 0
0 0 0.10256 0 0 0 0.076923 0 0 0
0 0.025641 0.20513 0 0 0.025641 0.17949 0 0 0
0.025641 0.025641 0.17949 0 0 0.025641 0.41026 0 0 0
0.025641 0.025641 0.17949 0 0 0.025641 0.64103 0 0 0
0 0 0.23077 0 0 0.025641 0.58974 0 0 0
0 0 0.15385 0 0 0.025641 0.33333 0 0 0
0 0 0.10256 0 0 0 0.23077 0 0 0
0 0 0.051282 0 0 0 0.051282 0 0 0
0 0 0.025641 0 0.025641 0 0 0 0 0
0 0 0 0 0.025641 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0.025641 0.051282 0 0 0 0 0 0 0
0 0.025641 0.10256 0 0 0 0 0 0 0
0.025641 0 0.12821 0.025641 0 0 0 0 0 0
0.025641 0 0.15385 0.051282 0 0 0.025641 0 0 0
0.12821 0.12821 0.25641 0.076923 0 0.025641 0.051282 0 0.025641 0.025641
0.28205 0.12821 0.35897 0.076923 0.025641 0.051282 0.17949 0 0.051282 0.025641
0.20513 0.12821 0.41026 0.20513 0.025641 0.076923 0.53846 0 0.076923 0.025641
0.25641 0.20513 0.51282 0.28205 0 0.10256 0.69231 0 0.15385 0.025641
0.33333 0.25641 0.48718 0.28205 0 0.10256 0.79487 0 0.17949 0.025641
0.33333 0.20513 0.41026 0.28205 0 0.025641 0.5641 0 0.17949 0
0.23077 0.12821 0.30769 0.25641 0.10256 0.051282 0.35897 0 0.10256 0
0.076923 0.12821 0.25641 0.15385 0.10256 0.076923 0.15385 0 0.051282 0
0 0.051282 0.15385 0.076923 0.15385 0.076923 0.051282 0 0.10256 0
0 0 0.076923 0 0.076923 0.076923 0 0 0.025641 0
0 0 0 0 0.076923 0.051282 0 0 0.025641 0
0 0 0 0 0.025641 0 0 0 0.025641 0
0 0 0 0 0 0 0 0 0.025641 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0
0 0 0.025641 0 0 0 0 0 0 0
0 0 0.076923 0.025641 0 0.025641 0 0 0 0
0 0.025641 0.076923 0.10256 0 0.025641 0 0 0 0
0 0.025641 0.12821 0.12821 0.051282 0.025641 0 0 0 0
0.051282 0.025641 0.20513 0.17949 0.025641 0 0 0.025641 0 0
0.076923 0.025641 0.25641 0.33333 0.051282 0.051282 0 0.025641 0 0
0.23077 0.025641 0.35897 0.41026 0.076923 0.10256 0.076923 0.025641 0.076923 0.051282
0.35897 0.20513 0.53846 0.58974 0.025641 0.15385 0.15385 0.025641 0.20513 0.076923
